query,status,matched_name,feature_type,kommune,east,north,dist_km,uncertainty_m,n_in_area,n_observations
Storhøhytta,ok,Storhøhytta,Seter/støl,Skjåk,470318.45,6873463.64,11.6,400.0,1,1
Storhøi,ambiguous,Storhøi,Topp,Skjåk,472241.8,6875656.67,8.92,1200.0,3,1
Storvassområdet,needs_review,Storvassbue,"Bygg for jordbruk, fiske og fangst",Lesja,449437.6,6890693.0,25.81,400.0,3,1
Svaåfjellet,needs_review,Tverrfjellet,Fjell,Lesja,475328.03,6890293.91,6.06,1200.0,17,1
Søre Døkte,needs_review,Søre Djupdalen,Dal,Lesja,480640.79,6892099.63,9.96,3000.0,26,1
Søre Døkti,ok,Søre Døkti,Botn,Skjåk,471893.97,6864300.84,20.16,1500.0,1,1
Søre Løyfte,ok,Søre Løyftet,Skar,Lesja,460163.71,6883415.66,14.31,1500.0,1,1
Trihøen,ok,Trihøin,Fjell,Lesja,472495.81,6876168.62,8.36,1200.0,1,1
Tverrbotnen,fuzzy,Merrabotnen,Botn,Lesja,477977.37,6901360.21,17.42,1500.0,16,1
Tverrbytten,fuzzy,Tverrbekkene,Bekk,Lesja,456438.95,6898376.92,22.85,1500.0,9,1
Vassvendeggje,needs_review,Vassveite,Kanal,Lesja,488877.02,6890307.52,15.63,1500.0,5,1
Viahøe,not_found,,,,,,,,0,1
Viergrove,needs_review,Grove,Bekk,Lesja,473924.94,6893207.22,8.92,1500.0,9,1
Vulu,ok,Vulu,Elv,Lom,482716.02,6856124.75,29.37,1500.0,1,1
Åfottjern,not_found,,,,,,,,0,1
